Mood,Activity,Company,Situation,Thinking,Public,Time
4,10,3,1,9,1,9
11,11,2,1,4,2,10
16,12,2,1,10,3,10
9,13,6,3,11,4,11
6,14,2,4,4,3,11
10,14,2,4,4,1,12
17,14,7,4,4,1,13
5,7,2,4,12,3,14
7,8,2,4,4,3,15
8,1,1,1,1,1,1
3,2,2,1,1,1,1
14,2,3,1,1,1,1
13,2,3,1,1,1,2
17,3,4,1,2,2,3
15,4,2,1,2,1,4
14,5,2,1,3,2,4
12,6,5,1,4,1,5
9,7,2,2,5,1,5
1,8,3,1,6,1,6
7,1,5,1,7,3,7
1,8,3,1,8,2,7
9,9,3,1,1,3,7
2,9,2,2,1,3,8
4,10,3,1,9,1,9
11,11,2,1,4,2,10
16,12,2,1,10,3,10
9,13,6,3,11,4,11
6,14,2,4,4,3,11
10,14,2,4,4,1,12
17,14,7,4,4,1,13
5,7,2,4,12,3,14
7,8,2,4,4,3,15
8,1,1,1,1,1,1
3,2,2,1,1,1,1
14,2,3,1,1,1,1
13,2,3,1,1,1,2
17,3,4,1,2,2,3
15,4,2,1,2,1,4
14,5,2,1,3,2,4
12,6,5,1,4,1,5
9,7,2,2,5,1,5
1,8,3,1,6,1,6
7,1,5,1,7,3,7
1,8,3,1,8,2,7
9,9,3,1,1,3,7
2,9,2,2,1,3,8
4,10,3,1,9,1,9
11,11,2,1,4,2,10
16,12,2,1,10,3,10
9,13,6,3,11,4,11
6,14,2,4,4,3,11
10,14,2,4,4,1,12
17,14,7,4,4,1,13
5,7,2,4,12,3,14
7,8,2,4,4,3,15
8,1,1,1,1,1,1
3,2,2,1,1,1,1
14,2,3,1,1,1,1
13,2,3,1,1,1,2
17,3,4,1,2,2,3
15,4,2,1,2,1,4
14,5,2,1,3,2,4
12,6,5,1,4,1,5
9,7,2,2,5,1,5
1,8,3,1,6,1,6
7,1,5,1,7,3,7
1,8,3,1,8,2,7
9,9,3,1,1,3,7
2,9,2,2,1,3,8
4,10,3,1,9,1,9
11,11,2,1,4,2,10
16,12,2,1,10,3,10
9,13,6,3,11,4,11
6,14,2,4,4,3,11
10,14,2,4,4,1,12
17,14,7,4,4,1,13
5,7,2,4,12,3,14
7,8,2,4,4,3,15
8,1,1,1,1,1,1
3,2,2,1,1,1,1
14,2,3,1,1,1,1
13,2,3,1,1,1,2
17,3,4,1,2,2,3
15,4,2,1,2,1,4
14,5,2,1,3,2,4
12,6,5,1,4,1,5
9,7,2,2,5,1,5
1,8,3,1,6,1,6
7,1,5,1,7,3,7
1,8,3,1,8,2,7
9,9,3,1,1,3,7
2,9,2,2,1,3,8
4,10,3,1,9,1,9
11,11,2,1,4,2,10
16,12,2,1,10,3,10
9,13,6,3,11,4,11
6,14,2,4,4,3,11
10,14,2,4,4,1,12
17,14,7,4,4,1,13
5,7,2,4,12,3,14
7,8,2,4,4,3,15
8,1,1,1,1,1,1
3,2,2,1,1,1,1
14,2,3,1,1,1,1
13,2,3,1,1,1,2
17,3,4,1,2,2,3
15,4,2,1,2,1,4
14,5,2,1,3,2,4
12,6,5,1,4,1,5
9,7,2,2,5,1,5
1,8,3,1,6,1,6
7,1,5,1,7,3,7
1,8,3,1,8,2,7
9,9,3,1,1,3,7
2,9,2,2,1,3,8
4,10,3,1,9,1,9
11,11,2,1,4,2,10
16,12,2,1,10,3,10
9,13,6,3,11,4,11
6,14,2,4,4,3,11
10,14,2,4,4,1,12
17,14,7,4,4,1,13
5,7,2,4,12,3,14
7,8,2,4,4,3,15
8,1,1,1,1,1,1
3,2,2,1,1,1,1
14,2,3,1,1,1,1
13,2,3,1,1,1,2
17,3,4,1,2,2,3
15,4,2,1,2,1,4
14,5,2,1,3,2,4
12,6,5,1,4,1,5
9,7,2,2,5,1,5
1,8,3,1,6,1,6
7,1,5,1,7,3,7
1,8,3,1,8,2,7
9,9,3,1,1,3,7
2,9,2,2,1,3,8
4,10,3,1,9,1,9
11,11,2,1,4,2,10
16,12,2,1,10,3,10
9,13,6,3,11,4,11
6,14,2,4,4,3,11
10,14,2,4,4,1,12
17,14,7,4,4,1,13
5,7,2,4,12,3,14
7,8,2,4,4,3,15
8,1,1,1,1,1,1
3,2,2,1,1,1,1
14,2,3,1,1,1,1
13,2,3,1,1,1,2
17,3,4,1,2,2,3
15,4,2,1,2,1,4
14,5,2,1,3,2,4
12,6,5,1,4,1,5
9,7,2,2,5,1,5
1,8,3,1,6,1,6
7,1,5,1,7,3,7
1,8,3,1,8,2,7
9,9,3,1,1,3,7
2,9,2,2,1,3,8
4,10,3,1,9,1,9
11,11,2,1,4,2,10
16,12,2,1,10,3,10
9,13,6,3,11,4,11
6,14,2,4,4,3,11
10,14,2,4,4,1,12
17,14,7,4,4,1,13
5,7,2,4,12,3,14
7,8,2,4,4,3,15
